"","x"
"1",1043.46094702145
"2",1411.85448592609
"3",1403.9106482345
"4",1405.41677705769
"5",1046.48682799704
"6",1031.85854296189
"7",1427.1102839409
"8",1408.63161312501
"9",1031.41775911722
"10",1040.21053706273
