"","x"
"1",38.7582337591022
"2",47.4232988683974
"3",42.8053721219816
"4",45.6660546824451
"5",39.6216672507229
"6",55.9660624439769
"7",36.768018793006
"8",64.4845623320027
"9",51.7998883564659
"10",54.9879630158334
