"","x"
"1",28.0784637682928
"2",28.5089741609463
"3",32.4118161657883
"4",38.2911980641132
"5",32.3257284839849
"6",48.8244844581642
"7",25.251269817433
"8",35.9648078876124
"9",37.4178910036495
"10",37.9289450326246
