"","x"
"1",25.5020188393268
"2",28.4647563074497
"3",33.3524421423437
"4",38.8847876469698
"5",31.1137628550554
"6",51.1171142632551
"7",26.2479361954201
"8",37.2849923011015
"9",32.1561694908141
"10",30.9320178857706
