"","x"
"1",9681.48089820239
"2",9588.36514980186
"3",9571.59949649068
"4",9508.16760670745
"5",9649.22769604994
"6",9543.39519337987
"7",9660.16246167884
"8",9536.9301964596
"9",9559.15145208147
"10",9567.55136315919
