"","x"
"1",149.430512762408
"2",158.326892547872
"3",152.770297528121
"4",149.919505484519
"5",123.782856892693
"6",155.183602679009
"7",127.751019442353
"8",146.005927019703
"9",127.705842638907
"10",182.281555705468
